,Tri_grams,Frequency
1361,"('N_NN', 'QT_QTF', 'N_NST')",5
1362,"('RD_SYM', 'RD_PUNC', 'PR_PRP')",5
1363,"('CC_CCD', 'PR_PRP', 'V_VM_VNF')",5
1364,"('RD_PUNC', 'PSP', 'RD_PUNC')",5
1365,"('QT_QTF', 'N_NN', 'RP_RPD')",5
1366,"('RD_PUNC', 'JJ', 'QT_QTC')",5
1367,"('RB', 'V_VM_VINF', 'RD_PUNC')",5
1368,"('V_VM_VINF', 'N_NST', 'QT_QTC')",5
1369,"('V_VM_VINF', 'PR_PRP', 'QT_QTC')",5
1370,"('RP_RPD', 'RD_PUNC', 'DM_DMD')",5
1371,"('PR_PRP', 'RP_RPD', 'RD_PUNC')",5
1372,"('QT_QTC', 'RD_SYM', 'RD_PUNC')",5
1373,"('V_VM_VNF', 'DM_DMD', 'N_NST')",5
1374,"('N_NN', 'PSP', 'V_VAUX')",5
1375,"('PSP', 'V_VAUX', 'RD_PUNC')",5
1376,"('N_NN', 'JJ', 'V_VM_VF')",5
1377,"('RD_PUNC', 'V_VM_VNF', 'JJ')",5
1378,"('RP_NEG', 'N_NN', 'V_VM_VNF')",5
1379,"('V_VM_VNF', 'RD_SYM', 'V_VM_VNF')",5
1380,"('V_VAUX', 'N_NN', 'V_VM_VNF')",5
1381,"('V_VM_VNF', 'N_NST', 'N_NST')",5
1382,"('N_NN', 'V_VM_VNG', 'RB')",5
1383,"('CC_CCS', 'QT_QTC', 'N_NN')",5
1384,"('QT_QTC', 'PSP', 'RB')",5
1385,"('DM_DMD', 'RD_PUNC', 'RD_PUNC')",5
1386,"('DM_DMQ', 'N_NN', 'JJ')",5
1387,"('DM_DMQ', 'N_NN', 'CC_CCD')",5
1388,"('N_NN', 'N_NST', 'DM_DMQ')",5
1389,"('N_NST', 'DM_DMQ', 'N_NN')",5
1390,"('RD_PUNC', 'DM_DMQ', 'PR_PRP')",5
1391,"('N_NN', 'PSP', 'PSP')",5
1392,"('N_NN', 'RB', 'QT_QTF')",5
1393,"('QT_QTC', 'N_NN', 'RP_NEG')",5
1394,"('N_NN', 'RP_NEG', 'PR_PRP')",5
1395,"('JJ', 'QT_QTC', 'RD_PUNC')",5
1396,"('N_NN', 'V_VM_VNG', 'QT_QTF')",5
1397,"('PR_PRP', 'PR_PRP', 'PR_PRP')",5
1398,"('V_VM_VNG', 'QT_QTF', 'N_NN')",5
1399,"('RP_CL', 'N_NN', 'V_VM_VF')",5
1400,"('N_NNP', 'RD_PUNC', 'DM_DMQ')",5
1401,"('N_NNP', 'DM_DMQ', 'V_VM_VNF')",5
1402,"('DM_DMQ', 'RD_PUNC', 'PR_PRP')",5
1403,"('N_NN', 'PR_PRP', 'V_VM_VNG')",5
1404,"('V_VM_VNF', 'CC_CCS_UT', 'PR_PRP')",5
1405,"('QT_QTC', 'PSP', 'PR_PRP')",5
1406,"('RP_RPD', 'PR_PRP', 'RB')",5
1407,"('V_VM_VNG', 'V_VM_VNF', 'N_NN')",5
1408,"('V_VM_VNF', 'V_VAUX', 'N_NST')",5
1409,"('V_VM_VNF', 'V_VM_VINF', 'N_NST')",5
1410,"('N_NN', 'QT_QTF', 'RD_PUNC')",5
1411,"('V_VM_VNF', 'V_VM_VNG', 'V_VM_VNF')",5
1412,"('CC_CCD', 'QT_QTC', 'RB')",5
1413,"('CC_CCD', 'N_NN', 'QT_QTF')",5
1414,"('QT_QTC', 'N_NN', 'DM_DMR')",5
1415,"('CC_CCS', 'RD_PUNC', 'PR_PRP')",5
1416,"('QT_QTC', 'QT_QTC', 'CC_CCD')",5
1417,"('RB', 'RD_PUNC', 'RD_PUNC')",5
1418,"('RD_PUNC', 'V_VM_VNF', 'CC_CCD')",5
1419,"('CC_CCS_UT', 'PR_PRP', 'V_VM_VF')",5
1420,"('QT_QTC', 'V_VM_VNF', 'RB')",5
1421,"('V_VM_VNG', 'DM_DMQ', 'RD_PUNC')",5
1422,"('V_VM_VNF', 'RB', 'N_NNP')",5
1423,"('RD_PUNC', 'RD_PUNC', 'RP_RPD')",5
1424,"('PSP', 'QT_QTC', 'V_VM_VNF')",5
1425,"('RD_SYM', 'PR_PRP', 'V_VM_VINF')",5
1426,"('DM_DMD', 'RD_SYM', 'RD_PUNC')",5
1427,"('N_NNP', 'N_NN', 'CC_CCS_UT')",5
1428,"('RD_PUNC', 'DM_DMD', 'RD_PUNC')",5
1429,"('QT_QTF', 'N_NN', 'CC_CCD')",4
1430,"('RD_PUNC', 'RB', 'RB')",4
1431,"('QT_QTC', 'QT_QTC', 'JJ')",4
1432,"('RD_SYM', 'RP_RPD', 'N_NN')",4
1433,"('RP_RPD', 'N_NN', 'CC_CCD')",4
1434,"('RD_PUNC', 'CC_CCS_UT', 'V_VM_VINF')",4
1435,"('DM_DMD', 'N_NN', 'V_VM_VNG')",4
1436,"('N_NN', 'RP_NEG', 'CC_CCD')",4
1437,"('CC_CCS_UT', 'V_VM_VNF', 'V_VAUX')",4
1438,"('V_VM_VNF', 'V_VAUX', 'RP_RPD')",4
1439,"('PR_PRP', 'N_NST', 'QT_QTC')",4
1440,"('N_NN', 'V_VM_VF', 'N_NN')",4
1441,"('RD_SYM', 'DM_DMQ', 'N_NN')",4
1442,"('N_NST', 'V_VM_VINF', 'RB')",4
1443,"('RD_PUNC', 'PR_PRP', 'V_VM_VNG')",4
1444,"('V_VAUX', 'N_NN', 'V_VM_VF')",4
1445,"('V_VM_VINF', 'RD_PUNC', 'PR_PRP')",4
1446,"('N_NN', 'RB', 'DM_DMR')",4
1447,"('RB', 'DM_DMR', 'N_NST')",4
1448,"('V_VM_VF', 'RD_PUNC', 'N_NNP')",4
1449,"('PR_PRP', 'CC_CCD', 'N_NN')",4
1450,"('N_NN', 'PSP', 'DM_DMR')",4
1451,"('DM_DMQ', 'RB', 'N_NN')",4
1452,"('N_NN', 'CC_CCS', 'V_VM_VF')",4
1453,"('N_NN', 'V_VM_VNF', 'CC_CCS')",4
1454,"('V_VM_VNF', 'PSP', 'V_VM_VF')",4
1455,"('RB', 'V_VM_VNF', 'DM_DMR')",4
1456,"('RP_RPD', 'N_NN', 'DM_DMQ')",4
1457,"('DM_DMD', 'N_NN', 'DM_DMR')",4
1458,"('CC_CCD', 'PR_PRP', 'V_VM_VF')",4
1459,"('N_NN', 'RP_RPD', 'RP_INTF')",4
1460,"('N_NST', 'RD_PUNC', 'DM_DMD')",4
1461,"('RB', 'RP_NEG', 'RD_PUNC')",4
1462,"('PSP', 'RD_PUNC', 'CC_CCD')",4
1463,"('QT_QTF', 'V_VM_VNF', 'N_NST')",4
1464,"('RD_PUNC', 'DM_DMD', 'JJ')",4
1465,"('PR_PRP', 'PR_PRP', 'PSP')",4
1466,"('RD_PUNC', 'PSP', 'JJ')",4
1467,"('RD_PUNC', 'DM_DMD', 'QT_QTC')",4
1468,"('RD_PUNC', 'N_NST', 'V_VM_VF')",4
1469,"('PR_PRP', 'N_NNP', 'PSP')",4
1470,"('N_NNP', 'N_NN', 'DM_DMD')",4
1471,"('N_NST', 'V_VM_VINF', 'QT_QTC')",4
1472,"('PSP', 'V_VM_VNF', 'QT_QTC')",4
1473,"('N_NST', 'V_VM_VNF', 'N_NNP')",4
1474,"('N_NNP', 'N_NNP', 'N_NST')",4
1475,"('N_NNP', 'RP_INTF', 'V_VM_VF')",4
1476,"('N_NNP', 'PSP', 'JJ')",4
1477,"('N_NST', 'PSP', 'PR_PRP')",4
1478,"('PSP', 'V_VM_VNF', 'DM_DMD')",4
1479,"('N_NST', 'V_VM_VINF', 'N_NNP')",4
1480,"('DM_DMD', 'N_NST', 'RD_PUNC')",4
1481,"('N_NN', 'RP_RPD', 'RD_SYM')",4
1482,"('N_NN', 'RP_INTF', 'PSP')",4
1483,"('N_NN', 'DM_DMD', 'QT_QTC')",4
1484,"('N_NNP', 'RD_SYM', 'QT_QTC')",4
1485,"('PR_PRP', 'N_NNP', 'V_VM_VNF')",4
1486,"('JJ', 'N_NNP', 'N_NNP')",4
1487,"('PSP', 'N_NN', 'CC_CCD')",4
1488,"('N_NN', 'CC_CCD', 'QT_QTO')",4
1489,"('RD_UNK', 'RD_UNK', 'RD_UNK')",4
1490,"('RP_INJ', 'N_NN', 'N_NN')",4
1491,"('JJ', 'V_VM_VNF', 'PR_PRP')",4
1492,"('PSP', 'N_NST', 'V_VM_VF')",4
1493,"('N_NN', 'N_NNP', 'RP_INTF')",4
1494,"('RB', 'RD_PUNC', 'V_VM_VNF')",4
1495,"('DM_DMQ', 'N_NN', 'V_VM_VINF')",4
1496,"('N_NNP', 'V_VM_VINF', 'N_NNP')",4
1497,"('N_NNP', 'V_VM_VNF', 'PR_PRP')",4
1498,"('N_NNP', 'V_VM_VINF', 'PR_PRP')",4
1499,"('RP_RPD', 'N_NNP', 'N_NNP')",4
1500,"('N_NNP', 'CC_CCS_UT', 'V_VM_VF')",4
1501,"('RP_INTF', 'N_NN', 'PR_PRP')",4
1502,"('N_NN', 'CC_CCD', 'DM_DMQ')",4
1503,"('CC_CCS_UT', 'N_NN', 'RB')",4
1504,"('RD_SYM', 'DM_DMD', 'N_NN')",4
1505,"('RP_RPD', 'QT_QTC', 'RD_PUNC')",4
1506,"('RD_PUNC', 'N_NNP', 'CC_CCS_UT')",4
1507,"('PR_PRP', 'V_VM_VNF', 'QT_QTC')",4
1508,"('V_VM_VNF', 'QT_QTC', 'QT_QTC')",4
1509,"('V_VM_VNF', 'N_NNP', 'RB')",4
1510,"('N_NST', 'V_VM_VNF', 'V_VM_VINF')",4
1511,"('DM_DMD', 'QT_QTO', 'N_NN')",4
1512,"('RD_PUNC', 'V_VM_VINF', 'RD_PUNC')",4
1513,"('V_VM_VNF', 'QT_QTC', 'V_VM_VF')",4
1514,"('DM_DMQ', 'RD_SYM', 'N_NN')",4
1515,"('PSP', 'V_VM_VNF', 'RP_RPD')",4
1516,"('N_NST', 'PR_PRP', 'RB')",4
1517,"('N_NST', 'RP_INTF', 'N_NN')",4
1518,"('RD_PUNC', 'CC_CCS_UT', 'N_NNP')",4
1519,"('PSP', 'V_VM_VINF', 'PR_PRP')",4
1520,"('N_NN', 'QT_QTF', 'PR_PRP')",4
1521,"('RP_RPD', 'PR_PRP', 'JJ')",4
1522,"('RB', 'PR_PRP', 'N_NST')",4
1523,"('RD_SYM', 'RB', 'N_NN')",4
1524,"('RB', 'RD_PUNC', 'PR_PRP')",4
1525,"('RD_PUNC', 'CC_CCD', 'QT_QTF')",4
1526,"('RD_PUNC', 'CC_CCD', 'DM_DMD')",4
1527,"('CC_CCD', 'PR_PRP', 'V_VM_VINF')",4
1528,"('DM_DMQ', 'RP_RPD', 'N_NST')",4
1529,"('PSP', 'V_VM_VNF', 'DM_DMQ')",4
1530,"('RD_PUNC', 'QT_QTF', 'RB')",4
1531,"('V_VM_VINF', 'QT_QTC', 'JJ')",4
1532,"('N_NN', 'RB', 'DM_DMQ')",4
1533,"('N_NNP', 'RP_RPD', 'N_NN')",4
1534,"('PR_PRP', 'QT_QTF', 'V_VM_VNF')",4
1535,"('CC_CCD', 'PR_PRP', 'RD_PUNC')",4
1536,"('QT_QTC', 'PSP', 'V_VM_VINF')",4
1537,"('PSP', 'V_VM_VINF', 'DM_DMD')",4
1538,"('V_VM_VINF', 'PR_PRP', 'N_NST')",4
1539,"('PSP', 'N_NN', 'DM_DMQ')",4
1540,"('CC_CCD', 'N_NN', 'DM_DMD')",4
1541,"('N_NST', 'V_VM_VINF', 'PR_PRP')",4
1542,"('V_VM_VINF', 'N_NST', 'JJ')",4
1543,"('PR_PRP', 'N_NNP', 'PR_PRP')",4
1544,"('QT_QTC', 'N_NN', 'QT_QTO')",4
1545,"('QT_QTO', 'N_NN', 'N_NNP')",4
1546,"('N_NNP', 'V_VM_VNF', 'DM_DMD')",4
1547,"('RD_SYM', 'PSP', 'V_VM_VNF')",4
1548,"('PSP', 'V_VM_VNF', 'RB')",4
1549,"('RP_RPD', 'N_NNP', 'RD_PUNC')",4
1550,"('PSP', 'N_NN', 'CC_CCS_UT')",4
1551,"('N_NST', 'RD_SYM', 'N_NN')",4
1552,"('V_VM_VNF', 'RP_RPD', 'CC_CCD')",4
1553,"('V_VM_VNF', 'CC_CCD', 'QT_QTC')",4
1554,"('N_NN', 'QT_QTC', 'V_VM_VINF')",4
1555,"('PSP', 'N_NN', 'V_VM_VNG')",4
1556,"('N_NN', 'CC_CCS', 'QT_QTC')",4
1557,"('N_NST', 'N_NN', 'DM_DMR')",4
1558,"('RB', 'V_VM_VNG', 'PSP')",4
1559,"('RB', 'RP_RPD', 'V_VM_VNF')",4
1560,"('V_VM_VNF', 'QT_QTF', 'RP_CL')",4
1561,"('N_NN', 'DM_DMQ', 'PR_PRP')",4
1562,"('V_VM_VNF', 'RB', 'RP_RPD')",4
1563,"('PSP', 'PSP', 'N_NN')",4
1564,"('DM_DMQ', 'N_NN', 'N_NST')",4
1565,"('RD_SYM', 'PR_PRP', 'V_VM_VNF')",4
1566,"('N_NN', 'QT_QTC', 'N_NST')",4
1567,"('JJ', 'PR_PRP', 'PSP')",4
1568,"('N_NN', 'RP_NEG', 'JJ')",4
1569,"('CC_CCD', 'PR_PRP', 'RB')",4
1570,"('RD_PUNC', 'CC_CCD', 'RB')",4
1571,"('PSP', 'V_VM_VNF', 'RD_SYM')",4
1572,"('RP_NEG', 'PR_PRP', 'N_NN')",4
1573,"('DM_DMD', 'N_NNP', 'N_NN')",4
1574,"('RD_PUNC', 'RP_RPD', 'PR_PRP')",4
1575,"('RD_PUNC', 'QT_QTC', 'JJ')",4
1576,"('DM_DMQ', 'RD_PUNC', 'N_NNP')",4
1577,"('DM_DMQ', 'V_VM_VNF', 'DM_DMD')",4
1578,"('QT_QTC', 'RD_PUNC', 'QT_QTF')",4
1579,"('PR_PRP', 'V_VM_VNF', 'V_VM_VINF')",4
1580,"('PR_PRP', 'V_VM_VINF', 'JJ')",4
1581,"('PR_PRP', 'QT_QTF', 'JJ')",4
1582,"('PR_PRP', 'V_VM_VINF', 'QT_QTC')",4
1583,"('V_VM_VNF', 'RP_RPD', 'CC_CCS_UT')",4
1584,"('PR_PRP', 'RP_INTF', 'V_VM_VNF')",4
1585,"('V_VM_VNF', 'CC_CCS_UT', 'V_VM_VNF')",4
1586,"('RD_PUNC', 'RB', 'N_NNP')",4
1587,"('N_NN', 'V_VM_VINF', 'DM_DMQ')",4
1588,"('RD_PUNC', 'CC_CCS_UT', 'RB')",4
1589,"('N_NN', 'N_NNP', 'DM_DMQ')",4
1590,"('RD_PUNC', 'PR_PRP', 'QT_QTF')",4
1591,"('RD_PUNC', 'JJ', 'PR_PRP')",4
1592,"('N_NST', 'PR_PRP', 'QT_QTC')",4
1593,"('RD_PUNC', 'RP_RPD', 'V_VM_VNF')",4
1594,"('QT_QTC', 'RP_CL', 'PR_PRP')",4
1595,"('N_NN', 'V_VM_VNG', 'DM_DMQ')",4
1596,"('V_VM_VNF', 'PR_PRP', 'CC_CCD')",4
1597,"('PSP', 'RD_PUNC', 'QT_QTF')",4
1598,"('RD_PUNC', 'DM_DMR', 'RB')",4
1599,"('V_VM_VINF', 'PR_PRP', 'V_VM_VNF')",4
1600,"('PSP', 'CC_CCD', 'N_NN')",4
1601,"('V_VM_VNF', 'V_VAUX', 'QT_QTC')",4
1602,"('PR_PRP', 'V_VM_VNG', 'V_VM_VF')",4
1603,"('N_NNP', 'RD_SYM', 'RD_PUNC')",4
1604,"('RD_SYM', 'RD_PUNC', 'RD_PUNC')",4
1605,"('V_VM_VNF', 'V_VM_VNG', 'RP_RPD')",4
1606,"('N_NN', 'V_VM_VNG', 'QT_QTC')",4
1607,"('RD_SYM', 'RD_PUNC', 'RD_SYM')",4
1608,"('DM_DMQ', 'N_NN', 'V_VM_VNG')",4
1609,"('RD_PUNC', 'RD_PUNC', 'QT_QTF')",4
1610,"('CC_CCD', 'RD_PUNC', 'N_NST')",4
1611,"('V_VAUX', 'V_VM_VF', 'RD_PUNC')",4
1612,"('N_NST', 'V_VM_VNG', 'V_VM_VF')",4
1613,"('N_NNP', 'N_NN', 'DM_DMQ')",4
1614,"('V_VM_VNG', 'V_VM_VNF', 'V_VM_VF')",4
1615,"('RB', 'V_VM_VINF', 'V_VM_VNF')",4
1616,"('N_NN', 'RD_SYM', 'CC_CCS_UT')",4
1617,"('RD_SYM', 'CC_CCS_UT', 'N_NN')",4
1618,"('RD_PUNC', 'QT_QTC', 'CC_CCD')",4
1619,"('V_VAUX', 'N_NN', 'RD_PUNC')",4
1620,"('V_VM_VINF', 'N_NST', 'V_VM_VF')",4
1621,"('N_NN', 'DM_DMD', 'RD_PUNC')",4
1622,"('PR_PRP', 'RD_PUNC', 'N_NST')",4
1623,"('RD_PUNC', 'V_VM_VNF', 'N_NST')",4
1624,"('V_VM_VINF', 'RB', 'V_VM_VNF')",4
1625,"('DM_DMQ', 'V_VM_VNF', 'CC_CCD')",4
1626,"('CC_CCD', 'RD_PUNC', 'RD_PUNC')",4
1627,"('N_NST', 'DM_DMQ', 'V_VM_VNF')",4
1628,"('N_NST', 'RD_PUNC', 'PR_PRP')",4
1629,"('N_NST', 'PR_PRP', 'RP_RPD')",4
1630,"('RP_RPD', 'V_VM_VNF', 'V_VM_VNF')",4
1631,"('V_VAUX', 'RD_PUNC', 'RD_PUNC')",4
1632,"('V_VM_VNF', 'RP_NEG', 'PR_PRP')",4
1633,"('RD_SYM', 'N_NST', 'RD_SYM')",4
1634,"('QT_QTC', 'CC_CCS_UT', 'V_VM_VF')",4
1635,"('N_NN', 'QT_QTC', 'DM_DMR')",4
1636,"('QT_QTC', 'DM_DMR', 'N_NST')",4
1637,"('N_NN', 'PR_PRL', 'RD_PUNC')",4
1638,"('RD_SYM', 'DM_DMQ', 'RD_SYM')",4
1639,"('N_NN', 'RD_SYM', 'RD_SYM')",4
1640,"('JJ', 'N_NN', 'PR_PRL')",4
1641,"('RD_SYM', 'QT_QTC', 'CC_CCS_UT')",4
1642,"('RP_INJ', 'RD_PUNC', 'DM_DMQ')",4
1643,"('DM_DMD', 'RD_PUNC', 'V_VM_VNF')",4
1644,"('N_NN', 'V_VAUX', 'RD_PUNC')",3
1645,"('PR_PRP', 'QT_QTC', 'N_NST')",3
1646,"('V_VM_VNF', 'N_NST', 'RD_PUNC')",3
1647,"('QT_QTF', 'N_NST', 'N_NN')",3
1648,"('N_NN', 'V_VM_VINF', 'V_VAUX')",3
1649,"('RP_RPD', 'RB', 'V_VM_VINF')",3
1650,"('QT_QTC', 'RD_SYM', 'JJ')",3
1651,"('RP_NEG', 'CC_CCD', 'N_NN')",3
1652,"('N_NN', 'DM_DMR', 'JJ')",3
1653,"('V_VM_VNG', 'PSP', 'DM_DMR')",3
1654,"('V_VM_VINF', 'N_NN', 'RP_NEG')",3
1655,"('V_VM_VINF', 'QT_QTC', 'RP_CL')",3
1656,"('V_VM_VNF', 'RB', 'JJ')",3
1657,"('N_NN', 'RD_SYM', 'RP_RPD')",3
1658,"('PSP', 'V_VM_VNG', 'V_VM_VF')",3
1659,"('V_VAUX', 'RD_PUNC', 'N_NST')",3
1660,"('N_NN', 'V_VM_VINF', 'RP_RPD')",3
1661,"('V_VM_VINF', 'RP_RPD', 'N_NN')",3
1662,"('N_NN', 'RP_RPD', 'V_VM_VNG')",3
1663,"('V_VM_VNG', 'RB', 'V_VM_VF')",3
1664,"('PR_PRP', 'V_VM_VNF', 'DM_DMR')",3
1665,"('N_NN', 'V_VAUX', 'N_NN')",3
1666,"('V_VM_VF', 'N_NN', 'N_NN')",3
1667,"('QT_QTC', 'RD_SYM', 'DM_DMQ')",3
1668,"('N_NST', 'V_VM_VNF', 'V_VM_VNG')",3
1669,"('V_VM_VNG', 'N_NN', 'RB')",3
1670,"('PR_PRP', 'V_VM_VNG', 'RD_PUNC')",3
1671,"('N_NN', 'CC_CCD', 'V_VM_VINF')",3
1672,"('V_VM_VNF', 'V_VM_VINF', 'RD_PUNC')",3
1673,"('RP_RPD', 'DM_DMR', 'JJ')",3
1674,"('N_NN', 'RP_RPD', 'RP_RPD')",3
1675,"('N_NN', 'CC_CCS', 'DM_DMQ')",3
1676,"('RB', 'V_VM_VINF', 'RB')",3
1677,"('RD_PUNC', 'CC_CCD', 'JJ')",3
1678,"('PSP', 'PR_PRP', 'PSP')",3
1679,"('CC_CCD', 'PR_PRP', 'PR_PRP')",3
1680,"('N_NN', 'PR_PRP', 'QT_QTF')",3
1681,"('N_NST', 'RP_RPD', 'N_NN')",3
1682,"('PR_PRP', 'PR_PRP', 'JJ')",3
1683,"('RB', 'V_VM_VNF', 'RP_NEG')",3
1684,"('RD_PUNC', 'CC_CCS', 'V_VM_VNF')",3
1685,"('DM_DMR', 'N_NN', 'DM_DMR')",3
1686,"('N_NN', 'RD_PUNC', 'V_VM_VNG')",3
1687,"('N_NN', 'CC_CCS', 'V_VM_VNF')",3
1688,"('V_VM_VNF', 'N_NST', 'JJ')",3
1689,"('QT_QTC', 'V_VM_VNF', 'V_VAUX')",3
1690,"('V_VM_VINF', 'V_VM_VNF', 'PR_PRP')",3
1691,"('N_NN', 'RB', 'CC_CCD')",3
1692,"('RD_PUNC', 'QT_QTC', 'N_NST')",3
1693,"('RD_PUNC', 'N_NST', 'N_NNP')",3
1694,"('N_NN', 'JJ', 'RP_CL')",3
1695,"('V_VM_VINF', 'PR_PRP', 'N_NNP')",3
1696,"('V_VM_VF', 'N_NNP', 'N_NNP')",3
1697,"('PR_PRP', 'N_NNP', 'N_NST')",3
1698,"('PSP', 'RD_PUNC', 'RB')",3
1699,"('RD_PUNC', 'RP_RPD', 'JJ')",3
1700,"('V_VM_VNF', 'V_VM_VINF', 'QT_QTC')",3
1701,"('V_VM_VNF', 'N_NNP', 'V_VM_VINF')",3
1702,"('V_VM_VNF', 'N_NNP', 'RP_INTF')",3
1703,"('N_NNP', 'JJ', 'RB')",3
1704,"('PR_PRP', 'N_NNP', 'QT_QTC')",3
1705,"('RD_PUNC', 'V_VM_VNF', 'RP_NEG')",3
1706,"('N_NNP', 'N_NNP', 'RP_INTF')",3
1707,"('N_NST', 'RP_RPD', 'RD_PUNC')",3
1708,"('PR_PRP', 'N_NST', 'PSP')",3
1709,"('N_NN', 'N_NST', 'RP_INTF')",3
1710,"('N_NN', 'V_VM_VINF', 'PSP')",3
1711,"('PSP', 'RP_NEG', 'RD_PUNC')",3
1712,"('RD_UNK', 'RD_PUNC', 'CC_CCS_UT')",3
1713,"('N_NST', 'N_NNP', 'V_VM_VNF')",3
1714,"('RB', 'V_VM_VINF', 'N_NNP')",3
1715,"('N_NN', 'N_NNP', 'QT_QTF')",3
1716,"('QT_QTF', 'N_NN', 'RP_INTF')",3
1717,"('RP_INTF', 'PSP', 'N_NN')",3
1718,"('PR_PRP', 'QT_QTF', 'QT_QTC')",3
1719,"('V_VM_VINF', 'N_NST', 'DM_DMD')",3
1720,"('N_NNP', 'PR_PRP', 'N_NNP')",3
1721,"('RD_PUNC', 'JJ', 'N_NNP')",3
1722,"('RP_CL', 'N_NN', 'DM_DMD')",3
1723,"('V_VM_VNF', 'V_VM_VNF', 'RP_INTF')",3
1724,"('QT_QTC', 'JJ', 'V_VM_VF')",3
1725,"('RP_RPD', 'N_NST', 'V_VM_VNF')",3
1726,"('V_VM_VNG', 'PR_PRP', 'RP_INTF')",3
1727,"('RD_PUNC', 'RD_UNK', 'RD_UNK')",3
1728,"('PSP', 'PR_PRP', 'QT_QTC')",3
1729,"('JJ', 'PR_PRP', 'PR_PRP')",3
1730,"('V_VM_VNF', 'PSP', 'V_VM_VNF')",3
1731,"('V_VM_VNF', 'RP_INTF', 'V_VM_VNF')",3
1732,"('PR_PRP', 'JJ', 'N_NNP')",3
1733,"('PR_PRP', 'N_NST', 'RP_INTF')",3
1734,"('PR_PRP', 'N_NST', 'N_NNP')",3
1735,"('N_NNP', 'CC_CCD', 'JJ')",3
1736,"('V_VM_VINF', 'N_NNP', 'PSP')",3
1737,"('CC_CCS_UT', 'JJ', 'N_NN')",3
1738,"('PSP', 'N_NST', 'V_VM_VINF')",3
1739,"('N_NN', 'N_NNP', 'RP_RPD')",3
1740,"('N_NNP', 'RD_PUNC', 'CC_CCS')",3
1741,"('RD_PUNC', 'PSP', 'QT_QTC')",3
1742,"('N_NN', 'QT_QTF', 'PSP')",3
1743,"('PR_PRP', 'V_VM_VNF', 'RD_SYM')",3
1744,"('DM_DMD', 'RD_SYM', 'N_NN')",3
1745,"('RD_SYM', 'V_VM_VNF', 'V_VAUX')",3
1746,"('RD_PUNC', 'RD_SYM', 'N_NST')",3
1747,"('RD_SYM', 'N_NST', 'V_VM_VNF')",3
1748,"('PSP', 'JJ', 'QT_QTC')",3
1749,"('N_NNP', 'RD_PUNC', 'RD_SYM')",3
1750,"('RB', 'N_NNP', 'V_VM_VF')",3
1751,"('RP_RPD', 'N_NN', 'RD_SYM')",3
1752,"('DM_DMR', 'V_VM_VNF', 'N_NN')",3
1753,"('CC_CCD', 'DM_DMQ', 'V_VM_VNF')",3
1754,"('V_VM_VNF', 'JJ', 'QT_QTC')",3
1755,"('N_NN', 'RP_RPD', 'DM_DMQ')",3
1756,"('RP_CL', 'N_NN', 'RP_RPD')",3
1757,"('V_VM_VNF', 'RD_SYM', 'JJ')",3
1758,"('JJ', 'N_NST', 'N_NN')",3
1759,"('PSP', 'V_VM_VINF', 'RD_PUNC')",3
1760,"('V_VM_VINF', 'PR_PRP', 'DM_DMD')",3
1761,"('RB', 'PSP', 'V_VM_VNF')",3
1762,"('RP_INTF', 'JJ', 'RD_PUNC')",3
1763,"('CC_CCD', 'N_NN', 'CC_CCS_UT')",3
1764,"('PR_PRP', 'DM_DMQ', 'RD_PUNC')",3
1765,"('N_NN', 'CC_CCS_UT', 'RP_RPD')",3
1766,"('CC_CCD', 'RB', 'PR_PRP')",3
1767,"('QT_QTC', 'RD_PUNC', 'RP_INTF')",3
1768,"('PR_PRP', 'JJ', 'RD_PUNC')",3
1769,"('V_VM_VNF', 'V_VAUX', 'PSP')",3
1770,"('RD_SYM', 'RD_PUNC', 'CC_CCD')",3
1771,"('V_VM_VINF', 'N_NN', 'RD_SYM')",3
1772,"('N_NN', 'RD_SYM', 'DM_DMQ')",3
1773,"('RB', 'JJ', 'JJ')",3
1774,"('RB', 'N_NN', 'DM_DMQ')",3
1775,"('V_VM_VNF', 'DM_DMD', 'V_VM_VINF')",3
1776,"('JJ', 'RD_PUNC', 'QT_QTC')",3
1777,"('DM_DMD', 'V_VM_VNF', 'N_NN')",3
1778,"('QT_QTF', 'RB', 'N_NN')",3
1779,"('RD_PUNC', 'DM_DMQ', 'RB')",3
1780,"('V_VM_VNF', 'N_NNP', 'N_NST')",3
1781,"('V_VM_VNF', 'N_NNP', 'RP_RPD')",3
1782,"('QT_QTC', 'RB', 'V_VM_VINF')",3
1783,"('RP_RPD', 'QT_QTC', 'RB')",3
1784,"('N_NST', 'QT_QTC', 'PSP')",3
1785,"('QT_QTC', 'QT_QTC', 'RB')",3
1786,"('N_NN', 'PR_PRP', 'QT_QTO')",3
1787,"('RB', 'JJ', 'N_NNP')",3
1788,"('N_NN', 'N_NST', 'QT_QTF')",3
1789,"('QT_QTC', 'RP_CL', 'V_VM_VNF')",3
1790,"('CC_CCD', 'V_VM_VNF', 'RD_PUNC')",3
1791,"('N_NST', 'PR_PRP', 'RP_INTF')",3
1792,"('DM_DMQ', 'PSP', 'N_NN')",3
1793,"('RB', 'PR_PRP', 'V_VM_VINF')",3
1794,"('N_NST', 'PSP', 'RB')",3
1795,"('V_VM_VINF', 'PR_PRP', 'JJ')",3
1796,"('RB', 'N_NN', 'RP_NEG')",3
1797,"('RD_PUNC', 'N_NN', 'QT_QTO')",3
